Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Director
Oldeuboi,2003,A,101,Action,8.4,Chan-wook Park
The_Lord_of_the_Rings_The_Return_of_the_King,2003,U,201,Action,8.9,Peter Jackson
Dead_Man's_Shoes,2004,,90,Crime,7.6,Shane Meadows
Finding_Neverland,2004,U,106,Biography,7.6,Marc Forster
Mysterious_Skin,2004,R,105,Drama,7.6,Gregg Araki
Saw,2004,UA,103,Horror,7.6,James Wan
The_Butterfly_Effect,2004,U,113,Drama,7.6,Eric Bress
Un_long_dimanche_de_fianÃ§ailles,2004,U,133,Drama,7.6,Jean-Pierre Jeunet
Crash,2004,UA,112,Crime,7.7,Paul Haggis
Kung_fu,2004,UA,99,Action,7.7,Stephen Chow
Man_on_Fire,2004,UA,146,Action,7.7,Tony Scott
Ray,2004,A,152,Biography,7.7,Taylor Hackford
The_Bourne_Supremacy,2004,A,108,Action,7.7,Paul Greengrass
The_Machinist,2004,R,101,Drama,7.7,Brad Anderson
Diarios_de_motocicleta,2004,U,126,Adventure,7.8,Walter Salles
The_Notebook,2004,A,123,Drama,7.8,Nick Cassavetes
Veer-Zaara,2004,U,192,Drama,7.8,Yash Chopra
Gegen_die_Wand,2004,R,121,Drama,7.9,Fatih Akin
Harry_Potter_and_the_Prisoner_of_Azkaban,2004,U,142,Adventure,7.9,Alfonso CuarÃ³n
Les_choristes,2004,PG-13,97,Drama,7.9,Christophe Barratier
Shaun_of_the_Dead,2004,UA,99,Comedy,7.9,Edgar Wright
Bin-jip,2004,U,88,Crime,8,Ki-duk Kim
GORA,2004,,127,Adventure,8,Ã–mer Faruk Sorak
Kill_Bill_Vol_2,2004,A,137,Action,8,Quentin Tarantino
The_Incredibles,2004,U,115,Animation,8,Brad Bird
Before_Sunset,2004,R,80,Drama,8.1,Richard Linklater
Hotel_Rwanda,2004,PG-13,121,Biography,8.1,Terry George
Million_Dollar_Baby,2004,UA,132,Drama,8.1,Clint Eastwood
Taegukgi_hwinalrimyeo,2004,R,140,Action,8.1,Je-kyu Kang
Der_Untergang,2004,R,156,Biography,8.2,Oliver Hirschbiegel
Hauru_no_ugoku_shiro,2004,U,119,Animation,8.2,Hayao Miyazaki
Swades_We_the_People,2004,U,210,Drama,8.2,Ashutosh Gowariker
Eternal_Sunshine_of_the_Spotless_Mind,2004,UA,108,Drama,8.3,Michel Gondry
Lord_of_War,2005,R,122,Action,7.6,Andrew Niccol
Match_Point,2005,R,124,Drama,7.6,Woody Allen
Brokeback_Mountain,2005,A,134,Drama,7.7,Ang Lee
Harry_Potter_and_the_Goblet_of_Fire,2005,UA,157,Adventure,7.7,Mike Newell
Joyeux_NoÃ«l,2005,PG-13,116,Drama,7.7,Christian Carion
Adams_Ã¦bler,2005,R,94,Comedy,7.8,Anders Thomas Jensen
Pride_&_Prejudice,2005,PG,129,Drama,7.8,Joe Wright
Serenity,2005,PG-13,119,Action,7.8,Joss Whedon
The_World's_Fastest_Indian,2005,U,127,Biography,7.8,Roger Donaldson
Walk_the_Line,2005,PG-13,136,Biography,7.8,James Mangold
CRAZY,2005,,129,Comedy,7.9,Jean-Marc VallÃ©e
Cinderella_Man,2005,UA,144,Biography,8,Ron Howard
Sin_City,2005,A,124,Crime,8,Frank Miller
Batman_Begins,2005,UA,140,Action,8.2,Christopher Nolan
Black,2005,U,122,Drama,8.2,Sanjay Leela Bhansali
V_for_Vendetta,2005,A,132,Action,8.2,James McTeigue
Babam_ve_Oglum,2005,,112,Drama,8.3,Ã‡agan Irmak
300,2006,A,117,Action,7.6,Zack Snyder
Huo_Yuan_Jia,2006,PG-13,104,Action,7.6,Ronny Yu
Inside_Man,2006,R,129,Crime,7.6,Spike Lee
The_Illusionist,2006,U,110,Drama,7.6,Neil Burger
Death_Note_Desu_nÃ´to,2006,,126,Crime,7.7,ShÃ»suke Kaneko
Efter_brylluppet,2006,R,120,Drama,7.7,Susanne Bier
Lucky_Number_Slevin,2006,R,110,Action,7.7,Paul McGuigan
Papurika,2006,U,90,Animation,7.7,Satoshi Kon
The_Last_King_of_Scotland,2006,R,123,Biography,7.7,Kevin Macdonald
This_Is_England,2006,,101,Crime,7.7,Shane Meadows
Toki_o_kakeru_shÃ´jo,2006,U,98,Animation,7.7,Mamoru Hosoda
Zwartboek,2006,R,145,Drama,7.7,Paul Verhoeven
Apocalypto,2006,A,139,Action,7.8,Mel Gibson
Little_Miss_Sunshine,2006,UA,101,Comedy,7.8,Jonathan Dayton
Children_of_Men,2006,A,109,Adventure,7.9,Alfonso CuarÃ³n
Letters_from_Iwo_Jima,2006,UA,141,Action,7.9,Clint Eastwood
The_Fall,2006,R,117,Adventure,7.9,Tarsem Singh
Blood_Diamond,2006,A,143,Adventure,8,Edward Zwick
Casino_Royale,2006,PG-13,144,Action,8,Martin Campbell
The_Pursuit_of_Happyness,2006,U,117,Biography,8,Gabriele Muccino
Lage_Raho_Munna_Bhai,2006,U,144,Comedy,8.1,Rajkumar Hirani
Pan's_Labyrinth,2006,UA,118,Drama,8.2,Guillermo del Toro
Rang_De_Basanti,2006,UA,167,Comedy,8.2,Rakeysh Omprakash Mehra
The_Lives_of_Others,2006,A,137,Drama,8.4,Florian Henckel von Donnersmarck
The_Departed,2006,A,151,Crime,8.5,Martin Scorsese
The_Prestige,2006,U,130,Drama,8.5,Christopher Nolan
Eastern_Promises,2007,R,100,Action,7.6,David Cronenberg
Gone_Baby_Gone,2007,R,114,Crime,7.6,Ben Affleck
La_Vie_En_Rose,2007,PG-13,140,Biography,7.6,Olivier Dahan
Stardust,2007,U,127,Adventure,7.6,Matthew Vaughn
The_Visitor,2007,PG-13,104,Drama,7.6,Tom McCarthy
310_to_Yuma,2007,A,122,Action,7.7,James Mangold
Control,2007,R,122,Biography,7.7,Anton Corbijn
Zodiac,2007,UA,157,Crime,7.7,David Fincher
American_Gangster,2007,A,157,Biography,7.8,Ridley Scott
Atonement,2007,R,123,Drama,7.8,Joe Wright
Auf_der_anderen_Seite,2007,,122,Drama,7.8,Fatih Akin
Hot_Fuzz,2007,UA,121,Action,7.8,Edgar Wright
Once,2007,R,86,Drama,7.8,John Carney
4_luni_3_saptamÃ¢ni_si_2_zile,2007,,113,Drama,7.9,Cristian Mungiu
Jab_We_Met,2007,U,138,Comedy,7.9,Imtiaz Ali
The_Man_from_Earth,2007,,87,Drama,7.9,Richard Schenkman
Le_scaphandre_et_le_papillon,2007,PG-13,112,Biography,8,Julian Schnabel
Persepolis,2007,PG-13,96,Animation,8,Vincent Paronnaud
Ratatouille,2007,U,111,Animation,8,Brad Bird
The_Bourne_Ultimatum,2007,UA,115,Action,8,Paul Greengrass
Tropa_de_Elite,2007,R,115,Action,8,JosÃ© Padilha
Into_the_Wild,2007,R,148,Adventure,8.1,Sean Penn
No_Country_for_Old_Men,2007,R,122,Crime,8.1,Ethan Coen
Chak_De!_India,2007,U,153,Drama,8.2,Shimit Amin
There_Will_Be_Blood,2007,A,158,Drama,8.2,Paul Thomas Anderson
Taare_Zameen_Par,2007,U,165,Drama,8.4,Aamir Khan
Die_Welle,2008,,107,Drama,7.6,Dennis Gansel
Seven_Pounds,2008,UA,123,Drama,7.6,Gabriele Muccino
Synecdoche_New_York,2008,R,124,Drama,7.6,Charlie Kaufman
Changeling,2008,R,141,Biography,7.7,Clint Eastwood
Frost/Nixon,2008,R,122,Biography,7.7,Ron Howard
Gake_no_ue_no_Ponyo,2008,U,101,Animation,7.7,Hayao Miyazaki
Chugyeokja,2008,,125,Action,7.8,Hong-jin Na
Taken,2008,A,90,Action,7.8,Pierre Morel
The_Boy_in_the_Striped_Pyjamas,2008,PG-13,94,Drama,7.8,Mark Herman
The_Curious_Case_of_Benjamin_Button,2008,UA,166,Drama,7.8,David Fincher
In_Bruges,2008,R,107,Comedy,7.9,Martin McDonagh
